30:0	10.73	2.36	2.05	1.08
31:0	13.91	2.40	3.42	1.52
32:1	0.32	0.05	2.85	0.9
32:0	17.93	2.55	10.40	2.79
33:2	0.03	0.02	0.15	0.05
33:1	0.63	0.11	10.88	2.72
33:0	23.96	2.59	16.87	4.46
34:2	0.07	0.04	0.14	0.05
34:1	0.21	0.08	6.31	1.74
34:0	8.83	2.26	9.20	2.84
35:2	0.05	0.03	0.34	0.07
35:1	0.49	0.16	21.08	4.35
35:0	12.26	3.01	17.90	5.15
36:2	0.02	0.01	0.10	0.06
36:1	0.09	0.08	2.42	1.19
36:0	1.08	0.60	2.27	1.38
37:2	0.02	0.02	0.05	0.05
37:1	0.32	0.21	3.51	1.97
38:2	0.01	0.01	0.41	0.31



